Old Title,New Title,Old Author,New Author,Error
Theft of Fire,Theft of Fire,Isaac Asimov,Denis Johnston,
Elon Musk,Elon Musk,Walter Issacson,Walter Isaacson,
Creature from Jekyll Island,The Creature from Jekyll Island,G Edward Griffin,G. Edward Griffin,
Camille Pagilas Sexual Personae,Camille Pagilas Sexual Personae,Camille Paglia,Camille Paglia,Unexpected response format
The First Fifteen Lives,The First Fifteen Lives of Harry August,Harry August,Claire North,
A Crack-Up at the Race Riots,A Crack-Up at the Race Riots,Harmony Korrine,Harmony Korine,
Unhumans: The Secret History of Communist Revolutions,Unholy: The Slaves of the Sick Man,Jack Posobiec,Jack Posobiec,
Glass Bead Game,The Glass Bead Game,Hermann Hesse,Hermann Hesse,
Discrimnation and Disparity,"""Discrimination and Disparities""",Thomas Sowell,"""Thomas Sowell""",
Lucifer's Hammer,Lucifer's Hammer,Larry Ninven,Larry Niven and Jerry Pournelle,
Skunkworks,Skunk Works,Ben R Rich,Ben R. Rich,
The Great Gatsby,The Great Gatsby,F. Scott Fitzgerals,F. Scott Fitzgerald,
Death in the Long Grass,Death in the Long Grass,Peter Hathaway Canstick,Peter Hathaway Capstick,
A Brief History of Time,A Brief History of Time,Steph Hawking,Stephen Hawking,
The Story of your life and others,Stories of Your Life and Others,Ted Chiang,Ted Chiang,
Birdsong,Birdsong,Sebastian Faulks,Sebastian Faulks,Unexpected response format
Prey,Prey,Michael Chrichton,Michael Crichton,
Incrementalism,"The Science of ""Muddling Through""",Charles E Lindblom,Charles E. Lindblom,
Enyclopedia of Military History,The Encyclopedia of Military History,Dupuy and Dupuy,R. Ernest Dupuy and Trevor N. Dupuy,
Don Juan series,Don Juan series,Carlos Castaneda,Carlos Castaneda,
The Autistic Brain,The Autistic Brain,Temple Gradin,Temple Grandin,
The Rebel,The Rebel,Albert Camus,Albert Camus,Unexpected response format
Hidden Potential,Hidden Potential,Adam M Grant,Adam Grant,
The Brothers Karamazov,The Brothers Karamazov,Fyodor Dostoevsky,Fyodor Dostoevsky,Unexpected response format
The Bible,The Bible,God,Various Authors,
American Desperado,American Desperado,Tony C. Sánchez,Jon Roberts and Evan Wright,
The Stormlight Archive,The Stormlight Archive,Brandon Sanderson,Brandon Sanderson,Unexpected response format
Last and First Man,Last and First Men,Olaf Stapledon,Olaf Stapledon,
The User Illusion,The User Illusion,Hjalmar Söderberg,Tor Nørretranders,
Another Testament of Jesus Christ,The Book of Mormon: Another Testament of Jesus Christ,God,Joseph Smith,
Ordinary Men,Ordinary Men,Chrstopher R. Browning,Christopher R. Browning,
Suicide of the west,Suicide of the West,Johan Norberg,Jonah Goldberg,
Wheel of Time series,The Wheel of Time series,Rober Jordan,Robert Jordan,
The Parasitic Mind,The Parasitic Mind,Richard A. Friedman,Gad Saad,
The Pilgrim's Progress Reloaded,The Pilgrim's Progress Reloaded,David Umstattd,David Umstattd,
Mere Christinanity,Mere Christianity,C.S. Lewis,C.S. Lewis,
The Prophet,The Prophet,Kahil Gibrab,Kahlil Gibran,
Malazan (Fallen Series),Malazan Book of the Fallen,Steven Erikson,Steven Erikson,
Story of your life & exhalation,Story of your life & exhalation,Ted Chiang,Ted Chiang,Unexpected response format
Vietnam Inc.,Vietnam Inc.,Phillip Jones Griffiths,Philip Jones Griffiths,
Sinister Forces,Sinister Forces,Peter Lavenda,Peter Lavenda,Unexpected response format
Zen and the art of motorcycle maintenance,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Robert M. Pirsig,
Catch 22,Catch 22,Joseph Heller,Joseph Heller,Unexpected response format
The End of the History and the last man,The End of History and the Last Man,Francis Fukuyama,Francis Fukuyama,
I Could read the sky,I Could Read the Sky,Timoth O'Grady,Timothy O'Grady,
The Rape of the Mind,The Rape of the Mind,Joost Meerlo,Joost Meerloo,
The Space Triology,The Space Trilogy,C.S. Lewis,C.S. Lewis,
Siddartha,Siddhartha,Herman Hesse,Hermann Hesse,
Clean Well Lighted Places,"A Clean, Well-Lighted Place",Hemmingway,Ernest Hemingway,
The Storm Before the Calm,The Storm Before the Calm,David Shulman,George Friedman,
Indifferent Stars Above,The Indifferent Stars Above: The Harrowing Saga of a Donner Party Bride,Daniel James Brown,Daniel James Brown,
Travels,Travels,Michael Chrichton,Michael Crichton,
Travis McGee Series,Travis McGee Series,John Macdonald,John D. MacDonald,
The Dream Machine,The Dream Machine,Mitchell Weldberg,M. Mitchell Waldrop,
Prometheus Rising,Prometheus Rising,Robert Anton WIlson,Robert Anton Wilson,
The Power and the glory,The Power and the Glory,Graham Greene,Graham Greene,
Who killed curt cobain,Who Killed Kurt Cobain?,Ian Halperin,Ian Halperin and Max Wallace,
Lolita,Lolita,Vladamir Nabokov,Vladamir Nabokov,Unexpected response format
Baghavad Gita,Bhagavad Gita,God,Unknown,
Entertaining Ourselves to Death,Amusing Ourselves to Death,Neil Postman,Neil Postman,
Blitzed,Blitzed,Normal Ohler,Norman Ohler,
"Free Women, Free men","Free Women, Free Men",Camile Paglia,Camille Paglia,
Our Inner Ape,Our Inner Ape,Franz de Waal,Frans de Waal,
Lord of the World,Lord of the World,Robert Hugh Benson,Robert Hugh Benson,Unexpected response format
Beowulf,Beowulf,Various Translations,Various Translations,Unexpected response format
Foucalt's Pendulum,Foucault's Pendulum,Umberto Eco,Umberto Eco,
Ubik,Ubik,Phillip K Dick,Philip K. Dick,
