Book,Author,Times mentioned
The Count of Monte Cristo,Alexandre Dumas,2
Hatchet,Gary Paulsen,
Siddhartha,Hermann Hesse,3
Atlas Shrugged,Ayn Rand,5
"Guns, Germs, and Steel",Jared Diamond,2
Starship Troopers,Robert A. Heinlein,2
The Machiavellians,James Burnham,
Dune Series,Frank Herbert,2
Brave New World,Aldous Huxley,
Notes from the Underground,Fyodor Dostoevsky,
Meditations,Marcus Aurelius,
Call of the Wild,Jack London,
Theft of Fire,Denis Johnston,4
Betrayal,Harold Pinter,
Elon Musk,Walter Isaacson,
Ripples from Zambezi,Ernesto Sirolli,
The Creature from Jekyll Island,G. Edward Griffin,
The Devil's Chessboard,David Talbot,
Rule by Secrecy,Jim Marrs,
The Origins of Knowledge and Imagination,Jacob Bronowski,
The Gospel in 10 Words,Paul Ellis,
Camille Pagilas Sexual Personae,Camille Paglia,
Teatro Grottesco,Thomas Ligotti,
Infinite Jest,David Foster Wallace,3
The Twilight World,Werner Herzog,
The First Fifteen Lives of Harry August,Claire North,
A Crack-Up at the Race Riots,Harmony Korine,
The Night Circus,Erin Morgenstern,
Sins of South Beach,Alex Daoud,
Unholy: The Slaves of the Sick Man,Jack Posobiec,
Things Hidden Since the Foundation of the World,Rene Girard,
The Glass Bead Game,Hermann Hesse,
"""Discrimination and Disparities""","""Thomas Sowell""",
Frankenstein,Mary Shelley,
Starmaker,Olaf Stapledon,
Tau Zero,Poul Anderson,
Rendezvous with Rama,Arthur C. Clarke,
Dirk Pitt Novels,Clive Cussler,
Antifragile,Nassim Nicholas Taleb,
The Secret Team,L. Fletcher Prouty,
Bonfire of the Vanities,Tom Wolfe,
Death's End,Cixin Liu,
Rama Revealed,Arthur C. Clarke,
Lucifer's Hammer,Larry Niven and Jerry Pournelle,
Skunk Works,Ben R. Rich,
The Great Gatsby,F. Scott Fitzgerald,
Stranger in a Strange Land,Robert A Heinlein,
The 5000 Year Leap,W. Cleon Skousen,
The Fourth Turning,William Strauss,2
The Real Anthony Fauci,Robert F Kennedy Jr.,
"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr,
Seeing like a State,James C Scott,
Death in the Long Grass,Peter Hathaway Capstick,
Sapiens,Yuval Noah Harari,
A Brief History of Time,Stephen Hawking,
Foundation,Isaac Asimov,
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,
Diamond Age,Neal Stephenson,
Cryptonomicon,Neal Stephenson,
Walden,Henry David Thoreau,
Cloud Atlas,David Mitchell,
Stories of Your Life and Others,Ted Chiang,
Enders Game,Orson Scott Card,2
The Godfather,Mario Puzo,
Shantaram,Gregory David Roberts,4
A Prayer for Owen Meany,John Irving,
Birdsong,Sebastian Faulks,
Unbroken,Laura Hillenbrand,
The Baron in the Trees,Italo Calvino,
Discworld Series,Terry Pratchett,
Prey,Michael Crichton,
"The Science of ""Muddling Through""",Charles E. Lindblom,
The Encyclopedia of Military History,R. Ernest Dupuy and Trevor N. Dupuy,
Don Juan series,Carlos Castaneda,
Flowers for Algernon,Daniel Keyes,
Range,David Epstein,
The Autistic Brain,Temple Grandin,
Soon I Will be Invincible,Austin Grossman,
Physics from Symmetry,Jakob Schwichtenberg,
The Rebel,Albert Camus,
Adaptive Markets,Andrew W. Lo,
"Chaos: Charles Manson, The CIA, Secret History of the 60s",Tom O'Neill,
The Birth and Death of Meaning,Ernest Becker,
Uglies,Scott Westerfeld,
The Sparrow,Mary Doria Russell,
Blood Meridian,Cormac McCarthy,2
Darkness at Noon,Arthur Koestler,
The Communist Manifesto,Karl Marx,
How to Win Friends and Influence People,Dale Carnegie,
A Pattern Language,Christopher Alexander,
The Boys in the Boat,Daniel James Brown,
The Phantom Tollbooth,Norton Juster,
Hidden Potential,Adam Grant,
Red Rising,Pierce Brown,
I see Satan Fall Like Lightning,Rene Girard,
A Million Little Pieces,James Frey,
Jonathan livingston Seagull,Richard Bach,2
The Brothers Karamazov,Fyodor Dostoevsky,
Fight Club,Chuck Palahniuk,
Barbarians at the Gate,Bryan Burrough,
The Bible,Various Authors,
Flatland,Edwin A. Abbott,
American Desperado,Jon Roberts and Evan Wright,
Trust Me I'm Lying,Ryan Holiday,
"Spiritual Enlightenment, the Damndest Thing",Jed McKenna,
"Gradually, Then Suddenly",Parker Lewis,
The Stormlight Archive,Brandon Sanderson,
Last and First Men,Olaf Stapledon,
East of Eden,John Steinbeck,2
The User Illusion,Tor Nørretranders,
The Postmortal,Drew Magary,
The Vicious Circuit Trilogy,Robert Brockway,
Einstein's Dreams,Alan Lightman,
Shibumi,Trevanian,
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith,
Ordinary Men,Christopher R. Browning,
Suicide of the West,Jonah Goldberg,
The Story of Philosophy,Will Durant,
Influence,Robert Cialdini,
The Wheel of Time series,Robert Jordan,
Burn the boats,Matt Higgins,
Armor,John Steakley,
The Crank Series,Ellen Hopkins,
The Fountainhead,Ayn Rand,
The Road to Serfdom,Friedrich Hayek,
The Parasitic Mind,Gad Saad,
Diaspora,Greg Egan,
Shoe Dog,Phil Knight,
Short: How to Get Filthy Rich in Rising Asia,Mohsin Hamid,
The Naked Ape,Desmond Morris,
The Bitcoin Standard,Saifedean Ammous,
The Fiat standard,Saifedean Ammous,
Moby Dick,Herman Melville,
The Problem of Political Authority,Michael Huemer,
The Diamond Age,Neal Stephenson,
Snow Crash,Neal Stephenson,4
The War of Art,Steven Pressfield,
The Stranger,Albert Camus,2
The Trial,Franz Kafka,
We,Yevgeny Zamyatin,
Stormlight Archive,Brandon Sanderson,
Confessions of an Economic Hitman,John Perkins,
The Book of Mormon,Joseph Smith,
The Illuminatus! Trilogy,Robert Anton Wilson,
The Pilgrim's Progress Reloaded,David Umstattd,
Mere Christianity,C.S. Lewis,
The Quantum Thief,Hannu Rajaniemi,
The Long Walk,Slawomir Rawicz,
The Prophet,Kahlil Gibran,
