Book,Author,Times mentioned,rating,num_ratings
Hatchet,Gary Paulsen,,4.33,219
Atlas Shrugged,Ayn Rand,5,4.0,30
"Guns, Germs, and Steel",Jared Diamond,2,4.0,12
Siddhartha,Hermann Hesse,3,4.31,32
The Count of Monte Cristo,Alexandre Dumas,2,4.3,930198
Dune Series,Frank Herbert,2,3.69,80
The Machiavellians,James Burnham,,4.31,1535
Brave New World,Aldous Huxley,,3.99,890157
Notes from the Underground,Fyodor Dostoevsky,,4.18,170280
Theft of Fire,Denis Johnston,4,,
Starship Troopers,Robert A. Heinlein,2,3.0,0
Call of the Wild,Jack London,,3.91,437407
Meditations,Marcus Aurelius,,4.41,1098
Betrayal,Harold Pinter,,3.94,8187
Ripples from Zambezi,Ernesto Sirolli,,0.0,0
Elon Musk,Walter Isaacson,,4.21,14
The Devil's Chessboard,David Talbot,,4.34,5650
Rule by Secrecy,Jim Marrs,,3.94,1847
The Creature from Jekyll Island,G. Edward Griffin,,4.03,33
The Gospel in 10 Words,Paul Ellis,,0.0,0
The Origins of Knowledge and Imagination,Jacob Bronowski,,4.2,224
Camille Pagilas Sexual Personae,Camille Paglia,,,
Teatro Grottesco,Thomas Ligotti,,4.1,5227
Infinite Jest,David Foster Wallace,3,3.57,240
The Twilight World,Werner Herzog,,3.87,6167
The First Fifteen Lives of Harry August,Claire North,,4.03,90376
A Crack-Up at the Race Riots,Harmony Korine,,3.78,1273
The Night Circus,Erin Morgenstern,,4.42,53
Sins of South Beach,Alex Daoud,,3.94,83
Unholy: The Slaves of the Sick Man,Jack Posobiec,,,
Things Hidden Since the Foundation of the World,Rene Girard,,4.27,724
The Glass Bead Game,Hermann Hesse,,4.44,9
"""Discrimination and Disparities""","""Thomas Sowell""",,3.0,2
Starmaker,Olaf Stapledon,,,
Frankenstein,Mary Shelley,,3.87,1133
Tau Zero,Poul Anderson,,4.0,0
Rendezvous with Rama,Arthur C. Clarke,,4.12,169310
Dirk Pitt Novels,Clive Cussler,,4.4,15
Antifragile,Nassim Nicholas Taleb,,4.4,5
The Secret Team,L. Fletcher Prouty,,3.99,361
Lucifer's Hammer,Larry Niven and Jerry Pournelle,,,
Bonfire of the Vanities,Tom Wolfe,,3.0,2
Death's End,Cixin Liu,,4.42,125823
Rama Revealed,Arthur C. Clarke,,0.0,0
Skunk Works,Ben R. Rich,,4.45,13631
The Great Gatsby,F. Scott Fitzgerald,,3.69,75
Stranger in a Strange Land,Robert A Heinlein,,0.0,0
The 5000 Year Leap,W. Cleon Skousen,,4.27,7023
The Fourth Turning,William Strauss,2,3.57,54
The Real Anthony Fauci,Robert F Kennedy Jr.,,4.29,31
Seeing like a State,James C Scott,,4.2,5627
"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr,,3.96,68309
Death in the Long Grass,Peter Hathaway Capstick,,4.42,2349
Sapiens,Yuval Noah Harari,,4.01,105
A Brief History of Time,Stephen Hawking,,4.27,15
Foundation,Isaac Asimov,,4.33,27
Diamond Age,Neal Stephenson,,4.0,3
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,,3.88,25
Cryptonomicon,Neal Stephenson,,0.0,0
Stories of Your Life and Others,Ted Chiang,,4.33,3
Walden,Henry David Thoreau,,4.1,52
Cloud Atlas,David Mitchell,,3.25,20
The Godfather,Mario Puzo,,4.39,427937
Enders Game,Orson Scott Card,2,4.58,132
Shantaram,Gregory David Roberts,4,4.49,846
The Baron in the Trees,Italo Calvino,,3.33,6
Unbroken,Laura Hillenbrand,,4.7,27
Birdsong,Sebastian Faulks,,4.09,11
A Prayer for Owen Meany,John Irving,,4.71,7
Don Juan series,Carlos Castaneda,,0.0,0
"The Science of ""Muddling Through""",Charles E. Lindblom,,4.33,3
The Encyclopedia of Military History,R. Ernest Dupuy and Trevor N. Dupuy,,0.0,0
Discworld Series,Terry Pratchett,,4.38,31338
Prey,Michael Crichton,,4.0,8
Flowers for Algernon,Daniel Keyes,,3.5,4
Range,David Epstein,,3.87,15
The Autistic Brain,Temple Grandin,,0.0,0
Soon I Will be Invincible,Austin Grossman,,3.67,14288
Physics from Symmetry,Jakob Schwichtenberg,,4.57,51
"Chaos: Charles Manson, The CIA, Secret History of the 60s",Tom O'Neill,,,
The Rebel,Albert Camus,,3.75,4
Adaptive Markets,Andrew W. Lo,,4.07,1424
Uglies,Scott Westerfeld,,4.07,15024
The Birth and Death of Meaning,Ernest Becker,,4.35,919
The Sparrow,Mary Doria Russell,,4.23,31
Darkness at Noon,Arthur Koestler,,3.5,4
The Communist Manifesto,Karl Marx,,4.19,21
Blood Meridian,Cormac McCarthy,2,3.15,20
How to Win Friends and Influence People,Dale Carnegie,,4.22,10719
A Pattern Language,Christopher Alexander,,4.42,5114
The Boys in the Boat,Daniel James Brown,,4.15,185
The Phantom Tollbooth,Norton Juster,,5.0,2
Hidden Potential,Adam Grant,,0.0,0
Red Rising,Pierce Brown,,4.39,84
I see Satan Fall Like Lightning,Rene Girard,,4.33,1377
Jonathan livingston Seagull,Richard Bach,2,5.0,2
A Million Little Pieces,James Frey,,4.0,91
Fight Club,Chuck Palahniuk,,4.0,20
The Brothers Karamazov,Fyodor Dostoevsky,,4.0,24
Barbarians at the Gate,Bryan Burrough,,4.27,39454
American Desperado,Jon Roberts and Evan Wright,,4.28,2918
The Bible,Various Authors,,0.0,0
Flatland,Edwin A. Abbott,,4.0,71402
"Spiritual Enlightenment, the Damndest Thing",Jed McKenna,,4.38,1843
Trust Me I'm Lying,Ryan Holiday,,3.86,11547
"Gradually, Then Suddenly",Parker Lewis,,4.76,63
The Stormlight Archive,Brandon Sanderson,,4.8,2470
East of Eden,John Steinbeck,2,4.3,10
The User Illusion,Tor Nørretranders,,4.32,1046
Last and First Men,Olaf Stapledon,,3.79,6416
The Postmortal,Drew Magary,,4.0,14945
The Vicious Circuit Trilogy,Robert Brockway,,,
Einstein's Dreams,Alan Lightman,,4.22,9
Shibumi,Trevanian,,4.37,145
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith,,4.24,87208
Ordinary Men,Christopher R. Browning,,5.0,0
Suicide of the West,Jonah Goldberg,,0.0,0
Influence,Robert Cialdini,,3.85,47
The Story of Philosophy,Will Durant,,4.15,16956
Armor,John Steakley,,4.08,12
Burn the boats,Matt Higgins,,4.08,763
The Wheel of Time series,Robert Jordan,,4.59,6944
The Crank Series,Ellen Hopkins,,4.78,572
The Fountainhead,Ayn Rand,,3.7,10
Diaspora,Greg Egan,,4.11,9850
The Parasitic Mind,Gad Saad,,4.0,2
The Road to Serfdom,Friedrich Hayek,,4.67,6
Shoe Dog,Phil Knight,,3.25,8
Short: How to Get Filthy Rich in Rising Asia,Mohsin Hamid,,,
The Naked Ape,Desmond Morris,,3.93,11435
